destination_code,destination_id,destination_name,discharge_port,entry_number,entry_status,excise_duty,export_duty,hscode_code,hscode_description,hscode_id,id,import_declaration_fee,import_duty,import_vat,origin_code,origin_id,origin_name,product_id,product_name,quantity,railway_development_levy,reg_date
KE,118,Kenya,CNT,23MBAIM402865664,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11699,839,5991,4793,BR,33,Brazil,6207,KRAFTLINER PAPER SUBSTANCE 120G; 820/850/900/1000/1120/1150/1170/1350/1370/1400/1450/1500MM; 1; ,121485.0,480,05/23/2023
KE,118,Kenya,ICD,23EMKIM400616932,Settled,0,0,4804.31.00,Unbleached kraft paper,3,11700,839,5991,4793,IN,105,India,6208,BROWN KRAFT PAPER REEL SIZE:755MM / 380MM 70GSM; 1;,25828.0,480,06/06/2023
EG,67,Egypt,MEX,23MBAEX303067569,Settled,0,0,4819.40.00,Paper and bags,11,11701,839,5991,4793,LK,131,Sri Lanka,4358,PAPER SACKS; 0; 510;,247.0,480,05/31/2023
KE,118,Kenya,CNT,23MBAIM403454785,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11702,839,5991,4793,CZ,59,Czechia,6209,ADVANTAGE SMOOTH WHITE STRONG 80 GSM W 850 MM C 76MM D 1000MM; 1; ,24666.0,480,06/20/2023
KE,118,Kenya,ICD,23EMKIM400665372,Settled,0,0,7217.20.00,GI wire,18,11703,839,5991,4793,CN,44,China,6210,GALVANIZED WIRE 0.9 MM; 12000; 1; ,12000.0,480,06/21/2023
KE,118,Kenya,ICD,23EMKIM400671299,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11704,839,5991,4793,AT,16,Austria,6211,NATURAL KRAFTLINER PAPER-SMURFIT KAPPA AUSTRIA; OD 127CM;CORE 4inch; 400GSM; 1;,46832.0,480,06/21/2023
KE,118,Kenya,NMA,23NMAIM400330637,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11705,839,5991,4793,TZ,230,"Tanzania, United Republic of",1120,KRAFT LINER PAPER; 0;,29327.0,480,06/30/2023
KE,118,Kenya,MTS,23MBAIM403406737,Settled,0,0,4819.10.00,Cartons,12,11706,839,5991,4793,CN,44,China,6212,BOX; PACKING BOX; 63; 11; 0; ,1100.0,480,06/17/2023
KE,118,Kenya,ICD,23EMKIM400029396,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11707,839,5991,4793,PT,183,Portugal,6213,"Brown kraftliner in reels - quality 'PORTOPAC' 160,0 g/m2 rw 130,00 cm; 1;",4768.0,480,01/16/2023
EG,67,Egypt,MEX,23MBAEX300270630,Settled,0,0,4819.40.00,Paper and bags,11,11708,839,5991,4793,LK,131,Sri Lanka,4544,510CARBON FOOT PRINT PAPER SACKS; 50; 10; ,246.0,480,01/16/2023
AE,8,United Arab Emirates,MEX,23MBAEX300314026,Settled,0,0,4819.40.00,Paper and bags,11,11709,839,5991,4793,LK,131,Sri Lanka,6214,PAPER SACKS; PAPER SACKS; 1; 1; ,20.0,480,01/18/2023
EG,67,Egypt,MEX,23MBAEX300312506,Settled,0,0,4819.40.00,Paper and bags,11,11710,839,5991,4793,LK,131,Sri Lanka,6109,PAPER SACKS; 20; 510; ,190.0,480,01/18/2023
LK,131,Sri Lanka,MEX,23MBAEX300762523,Settled,0,0,4819.40.00,Paper and bags,11,11711,839,5991,4793,LK,131,Sri Lanka,5265,PAPER SACKS; PAPER SACKS; 40; 10; ,84.7,480,02/10/2023
KE,118,Kenya,ICD,23EMKIM400105263,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11712,839,5991,4793,FI,73,Finland,4523,AXELLO SWAN WHITE BLEACHED KRAFT PAPER SUBS 75 GSM; 1;,47134.0,480,01/28/2023
EG,67,Egypt,MEX,23MBAEX300959097,Settled,0,0,4819.40.00,Paper and bags,11,11713,839,5991,4793,LK,131,Sri Lanka,5771,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,39.0,480,02/21/2023
KE,118,Kenya,ICD,23EMKIM400229152,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11714,839,5991,4793,AT,16,Austria,6215,BLEACHED KRAFT PAPER ''STARKRAFT FORMFILL'' 75 G/M2; 1;,48998.0,480,03/02/2023
KE,118,Kenya,TCC,23NBOIM401986679,Settled,0,0,4811.59.90,PE Comet Paper,13,11715,839,5991,4793,CN,44,China,6216,IMPREGNATED HARDWARE; 0; ,60.0,480,02/21/2023
RU,190,Russian Federation,MEX,23MBAEX301060306,Settled,0,0,4819.40.00,Paper and bags,11,11716,839,5991,4793,LK,131,Sri Lanka,4316,PAPER SACKS; 0; 400; ,202.0,480,02/26/2023
KE,118,Kenya,FOC,23MBAIM401885137,Settled,0,0,4819.10.00,Cartons,12,11717,839,5991,4793,CN,44,China,6217,N; PAPER BOX; 50; 62; 1;,1426.0,480,04/06/2023
EG,67,Egypt,MEX,23MBAEX301581204,Settled,0,0,4819.40.00,Paper and bags,11,11718,839,5991,4793,LK,131,Sri Lanka,5771,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,39.0,480,03/23/2023
KE,118,Kenya,NMA,23NMAIM400141682,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11719,839,5991,4793,TZ,230,"Tanzania, United Republic of",1723,KRAFT LINER; 0;,28777.0,480,03/29/2023
KE,118,Kenya,MTS,23MBAIM401915777,Settled,0,0,4819.10.00,Cartons,12,11720,839,5991,4793,CN,44,China,6218,N; PACKING BOX; 200; 12; 1; ,2500.0,480,04/08/2023
EG,67,Egypt,MEX,23MBAEX301564578,Settled,0,0,4819.40.00,Paper and bags,11,11721,839,5991,4793,LK,131,Sri Lanka,5776,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 11; ,43.0,480,03/22/2023
KE,118,Kenya,FOC,23MBAIM402109077,Settled,0,0,4819.30.00,Paper and bags,10,11722,839,5991,4793,CN,44,China,6219,PAPER BAG; 360; 15; 1; ,570.0,480,04/19/2023
EG,67,Egypt,MEX,23MBAEX302347282,Settled,0,0,4819.40.00,Paper and bags,11,11723,839,5991,4793,LK,131,Sri Lanka,5782,PAPER SACKS; 25; 20; ,245.5,480,04/30/2023
KZ,117,Kazakhstan,MEX,23MBAEX302339233,Settled,0,0,4819.40.00,Paper and bags,11,11724,839,5991,4793,LK,131,Sri Lanka,5855,PAPER SACKS; 0; 18; ,235.0,480,04/28/2023
EG,67,Egypt,MEX,23MBAEX302937509,Settled,0,0,4819.40.00,Paper and bags,11,11725,839,5991,4793,LK,131,Sri Lanka,5771,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,240.0,480,05/25/2023
EG,67,Egypt,MEX,23MBAEX302323544,Settled,0,0,4819.40.00,Paper and bags,11,11726,839,5991,4793,LK,131,Sri Lanka,6006,PAPER SACKS; 0; 0; ,254.0,480,04/28/2023
KE,118,Kenya,MLB,23MALIM400268438,Settled,0,0,2523.29.00,Portland cement,19,11727,839,5991,4793,UG,231,Uganda,6220,HIMA; PWERPLUS 50 KG KF BAG CEMENT I 42.5 OPC EXP ( SAMPLES FREE OF CHARGE ); BG; 5; 1;,250.0,480,05/24/2023
KE,118,Kenya,NMA,23NMAIM400229736,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11728,839,5991,4793,TZ,230,"Tanzania, United Republic of",1723,KRAFT LINER; 0;,29045.0,480,05/13/2023
KE,118,Kenya,ICD,23EMKIM400581482,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11729,839,5991,4793,FI,73,Finland,6134,KRAFT LINER 135K/117; 1;,1135.0,480,05/26/2023
KE,118,Kenya,ICD,23EMKIM400591894,Removed,0,0,4819.10.00,Cartons,12,11730,839,5991,4793,IN,105,India,6221,H; PRE-PRINTED CARTONS FOR MEDICINE; 1039; 1039; 0; 32650.76;,14295.0,480,05/30/2023
ER,68,Eritrea,MEX,23MBAEX303114878,Settled,0,0,4819.10.00,Cartons,12,11731,839,5991,4793,CN,44,China,6010,"NA; 178,000; 108; 374; ",2083.0,480,06/03/2023
PK,173,Pakistan,MEX,23MBAEX303099005,Settled,0,0,4819.40.00,Paper and bags,11,11732,839,5991,4793,LK,131,Sri Lanka,6222,PAPER SACKS; 0; 960; ,480.0,480,06/02/2023
IN,105,India,MEX,23MBAEX303027021,Settled,0,0,4819.40.00,Paper and bags,11,11733,839,5991,4793,LK,131,Sri Lanka,6223,PAPER SACKS; 19; 480; ,240.0,480,05/31/2023
KE,118,Kenya,NBF,23NBOIM406846758,Settled,0,0,4811.59.90,PE Comet Paper,13,11734,839,5991,4793,SE,211,Sweden,6224,PE COATED PAPER SUBSTANCE 75 - 650 GSM; ,5207.0,480,06/21/2023
KE,118,Kenya,ICD,23EMKIM400630196,Removed,0,0,4819.10.00,Cartons,12,11735,839,5991,4793,IN,105,India,6225,OTHER; WHITE BOX TOP & BOTTOM PRIMAROSA (FLOWER PACKING); 9000; 900; 0; 13320; ,8847.0,480,06/13/2023
KE,118,Kenya,CNT,23MBAIM403466136,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11736,839,5991,4793,CZ,59,Czechia,6226,ADVANTAGE SMOOTH WHITE STRONG SUBS 70/75/80/120 GSM AS PER INVOICE; 1; ,175000.0,480,06/20/2023
KE,118,Kenya,NMA,23NMAIM400301945,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11737,839,5991,4793,TZ,230,"Tanzania, United Republic of",1120,KRAFT LINER PAPER; 0;,27905.0,480,06/16/2023
KE,118,Kenya,CNT,23MBAIM703620449,Settled,0,0,4819.10.00,Cartons,12,11738,839,5991,4793,LK,131,Sri Lanka,6227,N/A; PRINTED EMPTY TEA CARTONS; 418425; 321; 1; ,6754.2,480,06/27/2023
KE,118,Kenya,ICD,23EMKIM400707700,Settled,0,0,4805.11.00,Sem-chemical fluting,4,11739,839,5991,4793,SE,211,Sweden,6228,SEMI CHEMICAL FLUTING; 1;,23509.0,480,06/30/2023
KE,118,Kenya,ICD,23EMKIM400081441,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11740,839,5991,4793,FI,73,Finland,6229,KRAFT LINER 135K/127; 1;,8633.0,480,01/23/2023
